gade,postnr,beholder,antal
Bakketoppen  10,6000,"240 l. beh, madaffald",1
Bakketoppen  10,6000,"400 l. con, restaffald",1
Bakketoppen  10,6000,"660 l. con, restaffald",1
Bjerggade  6,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  8,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  10,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  12,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  14,6000,"2-delt 370 l. beh, r/m-sætte f",1
Bjerggade  16,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  18,6000,"2-delt 240 l. beh, rest/mad",2
Bjerggade  20,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  22,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  24,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  26,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  28,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  30,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  32,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  38,6000,"2-delt 240 l. beh, r/m-sætte f",1
Borchs gård  7,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  7,6000,240 l Mr. Fill rest - intillegent,3
Borchs gård  39,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  39,6000,240 l Mr. Fill rest - intillegent,5
Fjordvej  105,6000,"2-delt 370 l. beh, rest/mad",1
Fredens Vej  2,6000,"2-delt 240 l. beh, rest/mad",1
Gl. Strandvej  17,6000,"400 l. con, madaffald",1
Gl. Strandvej  17,6000,"660 l. con, restaffald",2
Gramrolighed  1,6000,"2-delt 240 l. beh, r/m-sætte f",1
Gramrolighed  2,6000,"400 l. con, mad - sætte frem",1
Gramrolighed  2,6000,"660 l. con, rest - sætte frem",2
Gramrolighed  3,6000,"2-delt 240 l. beh, rest/mad",1
Gramrolighed  5,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  5,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  7,6000,"2-delt 370 l. beh, r/m-sætte f",1
Gramrolighed  9,6000,"2-delt 240 l. beh, rest/mad",1
Gramrolighed  11,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  11,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  13,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  13,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  14,6000,"2-delt 240 l. beh, rest/mad",1
Grønnegade  3,6000,"2-delt 240 l. beh, r/m-sætte f",2
Grønnegade  5,6000,"240 l. beholder, mad, med lås",1
Grønnegade  5,6000,"660 l. con, rest, med lås",1
Grønnegade  7,6000,"2-delt 240 l. beh, rest/mad",2
Grønnegade  9,6000,"2-delt 240 l. beh, r/m-sætte f",4
Grønnegade  11,6000,"240 l. beh, mad - sætte frem",1
Grønnegade  11,6000,"400 l. con, rest - sætte frem",1
Grønnegade  11,6000,"660 l. con, rest - sætte frem",1
Grønnegade  13,6000,"2-delt 240 l. beh, rest/mad",2
Grønnegade  15,6000,"240 l. beh, mad - sætte frem",1
Grønnegade  15,6000,"660 l. con, rest - sætte frem",1
Gøhlmannsvej  46,6000,"2-delt 240 l. beh, r/m-sætte f",1
Gøhlmannsvej  48,6000,"2-delt 240 l. beh, rest/mad",1
Gøhlmannsvej  50,6000,"2-delt 240 l. beh, rest/mad",1
Gøhlmannsvej  52,6000,"2-delt 370 l. beh, rest/mad",1
Hjarupvej  6,6000,"240 l. beh, madaffald",1
Hjarupvej  6,6000,"660 l. con, restaffald",2
Høgesti  3,6000,"2-delt 240 l. beh, r/m-sætte f",1
Høgesti  5,6000,"2-delt 240 l. beh, rest/mad",1
Høgesti  7,6000,"2-delt 240 l. beh, r/m-sætte f",1
Jernbanegade  5,6000,"140 l beholder, mad - sætter f",1
