gade,postnr,beholder,antal
Agtrup Midtskovvej  108,6091,"2-delt 370 l. beh, rest/mad",1
Agtrup Midtskovvej  110,6091,"2-delt 240 l. beh, r/m-sætte f",1
Agtrup Midtskovvej  112,6091,"2-delt 240 l. beh, rest/mad",1
Bakketoppen  1,6000,"2-delt 240 l. beh, rest/mad",2
Bakketoppen  2,6000,"2-delt 240 l. beh, rest/mad",1
Bakketoppen  3,6000,"2-delt 240 l. beh, r/m-sætte f",2
Bakketoppen  3,6000,"2-delt 240 l. beh, rest/mad",2
Bakketoppen  4,6000,"2-delt 370 l. beh, rest/mad",1
Bakketoppen  10,6000,"240 l. beh, madaffald",1
Bakketoppen  10,6000,"400 l. con, restaffald",1
Bakketoppen  10,6000,"660 l. con, restaffald",1
Binderupvej  6,6091,"2-delt 370 l. beh, rest/mad",1
Bjert Kirkevej  27,6091,"2-delt 240 l. beh, rest/mad",1
Borchs gård  7,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  7,6000,240 l Mr. Fill rest - intillegent,3
Borchs gård  39,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  39,6000,240 l Mr. Fill rest - intillegent,5
Bøgeløkke  2,6000,"2-delt 240 l. beh, r/m-sætte f",1
Chr. Winthers Vej  6,6000,"2-delt 240 l. beh, rest/mad",5
Drachmannsvej  1,6000,"2-delt 370 l. beh, rest/mad",1
Drachmannsvej  14,6000,"2-delt 370 l. beh, rest/mad",1
Fjordvej  97,6000,"2-delt 240 l. beh, r/m-sætte f",1
Fjordvej  99,6000,"2-delt 370 l. beh, r/m-sætte f",1
Fjordvej  103,6000,"2-delt 240 l. beh, r/m-sætte f",1
Fjordvej  105,6000,"2-delt 370 l. beh, rest/mad",1
Fredens Vej  2,6000,"2-delt 240 l. beh, rest/mad",1
Fredens Vej  4,6000,"2-delt 370 l. beh, r/m-sætte f",1
Fæstevej  1,6092,"2-delt 370 l. beh, rest/mad",1
Fæstevej  3,6092,"2-delt 240 l. beh, rest/mad",1
Fæstevej  5,6092,"2-delt 240 l. beh, r/m-sætte f",1
Gammeltoft  2,6091,"2-delt 240 l. beh, r/m-sætte f",2
Gammeltoft  3,6091,"2-delt 240 l. beh, rest/mad",1
Gefionvej  46,6000,"2-delt 240 l. beh, rest/mad",1
Gl. Strandvej  15,6000,"2-delt 370 l. beh, rest/mad",1
Gl. Strandvej  17,6000,"400 l. con, madaffald",1
Gl. Strandvej  17,6000,"660 l. con, restaffald",2
Gramrolighed  2,6000,"400 l. con, mad - sætte frem",1
Gramrolighed  2,6000,"660 l. con, rest - sætte frem",2
Hjarupvej  6,6000,"240 l. beh, madaffald",1
Hjarupvej  6,6000,"660 l. con, restaffald",2
Hokvej  1,6092,"2-delt 370 l. beh, rest/mad",1
Hokvej  2,6092,"2-delt 240 l. beh, rest/mad",1
Idyl  26,6000,"2-delt 370 l. beh, rest/mad",2
Jernbanegade  19,6000,"140 l. beholder, mad",1
Jernbanegade  19,6000,"660 l. con, restaffald",1
Kikkenborgvej  42,6000,"2-delt 240 l. beh, rest/mad",2
Kikkenborgvej  52,6000,"2-delt 240 l. beh, rest/mad",1
Kikkenborgvej  54,6000,"2-delt 240 l. beh, r/m-sætte f",1
Kikkenborgvej  54,6000,"2-delt 240 l. beh, rest/mad",1
Klostergade  16,6000,"400 l. con, madaffald",2
Klostergade  16,6000,"660 l. con, restaffald",6
Langelinie  24,6000,"400 l. con, madaffald",1
Langelinie  24,6000,"660 l. con, restaffald",2
Ndr. Ringvej  79,6000,"2-delt 240 l. beh, rest/mad",1
Rosengade  20,6000,"2-delt 370 l. beh, rest/mad",1
Rosengade  22,6000,"2-delt 240 l. beh, r/m-sætte f",1
Skolebakken  13,6000,"2-delt 240 l. beh, rest/mad",1
Skolebakken  13,6000,"2-delt 370 l. beh, rest/mad",2
Sortebjergvej  1,6640,"2-delt 240 l. beh, r/m-sætte f",1
Sportsvej  2,6000,"2-delt 370 l. beh, rest/mad",1
Sportsvej  14,6000,"2-delt 240 l. beh, r/m-sætte f",1
Stenholt  23,6092,"2-delt 370 l. beh, r/m-sætte f",1
Stenholt  25,6092,"2-delt 240 l. beh, rest/mad",1
Stenholt  33,6092,"2-delt 240 l. beh, r/m-sætte f",1
Stenholt  35,6092,"2-delt 240 l. beh, rest/mad",1
Stenholt  37,6092,"2-delt 370 l. beh, rest/mad",1
Stenholt  39,6092,"2-delt 240 l. beh, r/m-sætte f",1
Stenholt  41,6092,"2-delt 240 l. beh, r/m-sætte f",1
Stenholt  43,6092,"2-delt 370 l. beh, r/m-sætte f",1
Stenholt  47,6092,"2-delt 370 l. beh, r/m-sætte f",1
Stenholt  49,6092,"2-delt 240 l. beh, r/m-sætte f",1
Stenholt  49,6092,"2-delt 370 l. beh, r/m-sætte f",1
Stenholtgade  15,6092,"2-delt 240 l. beh, rest/mad",1
Stenholtgade  17,6092,"2-delt 240 l. beh, r/m-sætte f",1
Surkjær  1,6000,"2-delt 240 l. beh, rest/mad",1
